"","ImageName","LatitudeDD","LongitudeDD","DepthInMeters","SurveyID","Locality","Presence","logic","Clip_Aspect1","Clip_Slope1","Clip_Depth1","Clip_Intensity1","lon","lat"
"33","DSC-11130",26.4845,-84.7848,447,"NF-1708","Long Mound North",0,TRUE,233.14372253418,8.18581485748291,-420.759918212891,-26.9217357635498,720808.131140087,2931245.14257464
"34","DSC-11131",26.4846,-84.7848,449,"NF-1708","Long Mound North",0,TRUE,300.937591552734,6.76836109161377,-419.66015625,-23.7666645050049,720807.940002032,2931256.2227106
"35","DSC-11132",26.4845,-84.7848,447,"NF-1708","Long Mound North",0,TRUE,233.14372253418,8.18581485748291,-420.759918212891,-26.9217357635498,720808.131140087,2931245.14257464
"36","DSC-11133",26.4845,-84.7848,466,"NF-1708","Long Mound North",0,TRUE,233.14372253418,8.18581485748291,-420.759918212891,-26.9217357635498,720808.131140087,2931245.14257464
"37","DSC-11134",26.4845,-84.7848,466,"NF-1708","Long Mound North",0,TRUE,233.14372253418,8.18581485748291,-420.759918212891,-26.9217357635498,720808.131140087,2931245.14257464
"38","DSC-11135",26.4845,-84.7848,466,"NF-1708","Long Mound North",0,TRUE,233.14372253418,8.18581485748291,-420.759918212891,-26.9217357635498,720808.131140087,2931245.14257464
"39","DSC-11138",26.4845,-84.7848,447,"NF-1708","Long Mound North",0,TRUE,233.14372253418,8.18581485748291,-420.759918212891,-26.9217357635498,720808.131140087,2931245.14257464
"40","DSC-11139",26.4843,-84.7848,462,"NF-1708","Long Mound North",0,TRUE,236.72135925293,10.5921583175659,-423.329345703125,-25.8856048583984,720808.513414182,2931222.98230311
"41","DSC-11140",26.4844,-84.7848,466,"NF-1708","Long Mound North",0,TRUE,228.009674072266,9.34502410888672,-421.316101074219,-25.8271884918213,720808.322277471,2931234.06243881
"42","DSC-11141",26.4843,-84.7848,462,"NF-1708","Long Mound North",0,TRUE,236.72135925293,10.5921583175659,-423.329345703125,-25.8856048583984,720808.513414182,2931222.98230311
"43","DSC-11142",26.4843,-84.7847,461,"NF-1708","Long Mound North",0,TRUE,243.927474975586,8.43494033813477,-420.725006103516,-27.0577011108398,720818.484308473,2931223.15430855
"44","DSC-11143",26.4843,-84.7848,462,"NF-1708","Long Mound North",0,TRUE,236.72135925293,10.5921583175659,-423.329345703125,-25.8856048583984,720808.513414182,2931222.98230311
"45","DSC-11144",26.4843,-84.7847,461,"NF-1708","Long Mound North",0,TRUE,243.927474975586,8.43494033813477,-420.725006103516,-27.0577011108398,720818.484308473,2931223.15430855
"46","DSC-11145",26.4842,-84.7848,461,"NF-1708","Long Mound North",0,TRUE,251.643859863281,10.8424396514893,-423.446044921875,-27.9745807647705,720808.704550222,2931211.90216754
"47","DSC-11146",26.4842,-84.7848,461,"NF-1708","Long Mound North",0,TRUE,251.643859863281,10.8424396514893,-423.446044921875,-27.9745807647705,720808.704550222,2931211.90216754
"48","DSC-11148",26.4842,-84.7848,461,"NF-1708","Long Mound North",0,TRUE,251.643859863281,10.8424396514893,-423.446044921875,-27.9745807647705,720808.704550222,2931211.90216754
"49","DSC-11149",26.4842,-84.7848,463,"NF-1708","Long Mound North",0,TRUE,251.643859863281,10.8424396514893,-423.446044921875,-27.9745807647705,720808.704550222,2931211.90216754
"50","DSC-11150",26.4842,-84.7848,463,"NF-1708","Long Mound North",0,TRUE,251.643859863281,10.8424396514893,-423.446044921875,-27.9745807647705,720808.704550222,2931211.90216754
"51","DSC-11151",26.4841,-84.7848,464,"NF-1708","Long Mound North",0,TRUE,210.474731445312,38.5755157470703,-427.787109375,-28.3086318969727,720808.895685589,2931200.82203211
"52","DSC-11152",26.4841,-84.7848,464,"NF-1708","Long Mound North",0,TRUE,210.474731445312,38.5755157470703,-427.787109375,-28.3086318969727,720808.895685589,2931200.82203211
"53","DSC-11153",26.4841,-84.7848,464,"NF-1708","Long Mound North",0,TRUE,210.474731445312,38.5755157470703,-427.787109375,-28.3086318969727,720808.895685589,2931200.82203211
"54","DSC-11154",26.4842,-84.7847,465,"NF-1708","Long Mound North",0,TRUE,236.585372924805,8.43752098083496,-421.328674316406,-28.0423469543457,720818.675453157,2931212.07417253
"55","DSC-11155",26.4842,-84.7847,465,"NF-1708","Long Mound North",0,TRUE,236.585372924805,8.43752098083496,-421.328674316406,-28.0423469543457,720818.675453157,2931212.07417253
"56","DSC-11156",26.4842,-84.7847,465,"NF-1708","Long Mound North",0,TRUE,236.585372924805,8.43752098083496,-421.328674316406,-28.0423469543457,720818.675453157,2931212.07417253
"57","DSC-11157",26.4843,-84.7847,461,"NF-1708","Long Mound North",0,TRUE,243.927474975586,8.43494033813477,-420.725006103516,-27.0577011108398,720818.484308473,2931223.15430855
"58","DSC-11158",26.4841,-84.7847,465,"NF-1708","Long Mound North",0,TRUE,215.20979309082,24.9725856781006,-427.508666992188,-25.8951358795166,720818.86659717,2931200.99403664
"59","DSC-11159",26.4841,-84.7847,465,"NF-1708","Long Mound North",0,TRUE,215.20979309082,24.9725856781006,-427.508666992188,-25.8951358795166,720818.86659717,2931200.99403664
"60","DSC-11160",26.4841,-84.7847,463,"NF-1708","Long Mound North",0,TRUE,215.20979309082,24.9725856781006,-427.508666992188,-25.8951358795166,720818.86659717,2931200.99403664
"61","DSC-11161",26.4841,-84.7847,463,"NF-1708","Long Mound North",0,TRUE,215.20979309082,24.9725856781006,-427.508666992188,-25.8951358795166,720818.86659717,2931200.99403664
"62","DSC-11162",26.4841,-84.7847,463,"NF-1708","Long Mound North",0,TRUE,215.20979309082,24.9725856781006,-427.508666992188,-25.8951358795166,720818.86659717,2931200.99403664
"63","DSC-11163",26.484,-84.7847,461,"NF-1708","Long Mound North",0,TRUE,234.104827880859,35.602855682373,-427.53076171875,-31.2821254730225,720819.057740511,2931189.91390089
"64","DSC-11165",26.4841,-84.7847,465,"NF-1708","Long Mound North",0,TRUE,215.20979309082,24.9725856781006,-427.508666992188,-25.8951358795166,720818.86659717,2931200.99403664
"65","DSC-11166",26.484,-84.7847,461,"NF-1708","Long Mound North",0,TRUE,234.104827880859,35.602855682373,-427.53076171875,-31.2821254730225,720819.057740511,2931189.91390089
"66","DSC-11167",26.484,-84.7847,461,"NF-1708","Long Mound North",0,TRUE,234.104827880859,35.602855682373,-427.53076171875,-31.2821254730225,720819.057740511,2931189.91390089
"67","DSC-11168",26.484,-84.7847,461,"NF-1708","Long Mound North",0,TRUE,234.104827880859,35.602855682373,-427.53076171875,-31.2821254730225,720819.057740511,2931189.91390089
"68","DSC-11169",26.4839,-84.7847,463,"NF-1708","Long Mound North",0,TRUE,244.27116394043,34.6276397705078,-435.67822265625,-31.5603981018066,720819.24888318,2931178.83376527
"69","DSC-11170",26.4839,-84.7847,463,"NF-1708","Long Mound North",0,TRUE,244.27116394043,34.6276397705078,-435.67822265625,-31.5603981018066,720819.24888318,2931178.83376527
"70","DSC-11171",26.4839,-84.7847,463,"NF-1708","Long Mound North",0,TRUE,244.27116394043,34.6276397705078,-435.67822265625,-31.5603981018066,720819.24888318,2931178.83376527
"71","DSC-11172",26.4838,-84.7848,463,"NF-1708","Long Mound North",0,TRUE,239.428207397461,26.6350288391113,-440.113067626953,-26.97776222229,720809.469087662,2931167.5816266
"72","DSC-11173",26.4838,-84.7848,463,"NF-1708","Long Mound North",0,TRUE,239.428207397461,26.6350288391113,-440.113067626953,-26.97776222229,720809.469087662,2931167.5816266
"73","DSC-11174",26.4838,-84.7848,463,"NF-1708","Long Mound North",0,TRUE,239.428207397461,26.6350288391113,-440.113067626953,-26.97776222229,720809.469087662,2931167.5816266
"74","DSC-11175",26.4838,-84.7847,463,"NF-1708","Long Mound North",0,TRUE,232.965515136719,28.715950012207,-435.289794921875,-30.0273056030273,720819.440025177,2931167.75362977
"75","DSC-11176",26.4838,-84.7847,463,"NF-1708","Long Mound North",0,TRUE,232.965515136719,28.715950012207,-435.289794921875,-30.0273056030273,720819.440025177,2931167.75362977
"76","DSC-11179",26.484,-84.7847,461,"NF-1708","Long Mound North",0,TRUE,234.104827880859,35.602855682373,-427.53076171875,-31.2821254730225,720819.057740511,2931189.91390089
"77","DSC-11180",26.4837,-84.7847,452,"NF-1708","Long Mound North",0,TRUE,246.352523803711,25.4177875518799,-445.974151611328,-23.6836204528809,720819.631166502,2931156.67349441
"78","DSC-11181",26.4838,-84.7847,463,"NF-1708","Long Mound North",0,TRUE,232.965515136719,28.715950012207,-435.289794921875,-30.0273056030273,720819.440025177,2931167.75362977
"79","DSC-11182",26.4836,-84.7847,453,"NF-1708","Long Mound North",0,TRUE,261.584899902344,23.8062705993652,-446.153778076172,-23.541389465332,720819.822307155,2931145.59335919
"80","DSC-11183",26.4836,-84.7847,453,"NF-1708","Long Mound North",0,TRUE,261.584899902344,23.8062705993652,-446.153778076172,-23.541389465332,720819.822307155,2931145.59335919
"81","DSC-11184",26.4836,-84.7847,453,"NF-1708","Long Mound North",0,TRUE,261.584899902344,23.8062705993652,-446.153778076172,-23.541389465332,720819.822307155,2931145.59335919
"82","DSC-11185",26.4836,-84.7847,453,"NF-1708","Long Mound North",0,TRUE,261.584899902344,23.8062705993652,-446.153778076172,-23.541389465332,720819.822307155,2931145.59335919
"83","DSC-11186",26.4836,-84.7846,453,"NF-1708","Long Mound North",0,TRUE,264.746795654297,32.840877532959,-441.037902832031,-26.827880859375,720829.793262368,2931145.76536924
"84","DSC-11189",26.4836,-84.7846,453,"NF-1708","Long Mound North",0,TRUE,264.746795654297,32.840877532959,-441.037902832031,-26.827880859375,720829.793262368,2931145.76536924
"85","DSC-11190",26.4835,-84.7846,452,"NF-1708","Long Mound North",0,TRUE,239.591491699219,32.435848236084,-441.9775390625,-26.104887008667,720829.984410994,2931134.68523369
"86","DSC-11191",26.4835,-84.7846,452,"NF-1708","Long Mound North",0,TRUE,239.591491699219,32.435848236084,-441.9775390625,-26.104887008667,720829.984410994,2931134.68523369
"87","DSC-11192",26.4835,-84.7846,456,"NF-1708","Long Mound North",0,TRUE,239.591491699219,32.435848236084,-441.9775390625,-26.104887008667,720829.984410994,2931134.68523369
"88","DSC-11193",26.4835,-84.7846,456,"NF-1708","Long Mound North",0,TRUE,239.591491699219,32.435848236084,-441.9775390625,-26.104887008667,720829.984410994,2931134.68523369
"89","DSC-11194",26.4833,-84.7845,455,"NF-1708","Long Mound North",0,TRUE,233.257568359375,26.0526466369629,-445.817504882812,-26.6804008483887,720840.337687786,2931112.69697945
"90","DSC-11195",26.4833,-84.7845,455,"NF-1708","Long Mound North",0,TRUE,233.257568359375,26.0526466369629,-445.817504882812,-26.6804008483887,720840.337687786,2931112.69697945
"91","DSC-11196",26.4832,-84.7844,454,"NF-1708","Long Mound North",0,TRUE,233.153457641602,13.677755355835,-445.149993896484,-24.3159351348877,720850.499833647,2931101.78886764
"92","DSC-11197",26.4832,-84.7844,454,"NF-1708","Long Mound North",0,TRUE,233.153457641602,13.677755355835,-445.149993896484,-24.3159351348877,720850.499833647,2931101.78886764
"93","DSC-11198",26.4831,-84.7844,453,"NF-1708","Long Mound North",0,TRUE,222.022247314453,17.3487873077393,-449.060485839844,-22.753267288208,720850.690996875,2931090.70873171
"94","DSC-11200",26.4831,-84.7844,453,"NF-1708","Long Mound North",0,TRUE,222.022247314453,17.3487873077393,-449.060485839844,-22.753267288208,720850.690996875,2931090.70873171
